主分类(中文)	HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
代谢/内稳态异常	HP:0010684	Low alkaline phosphatase of bone origin	骨源性低碱性磷酸酶	An abnormally reduced level of bone isoforms of `alkaline phosphatase, tissue-nonspecific isozyme` (PRO:000003968) in the blood.	（:000003968 PRO）在血液`碱性磷酸酶，组织非特异性isozyme`的骨同种型的异常降低的水平。
代谢/内稳态异常;泌尿生殖系统的异常	HP:0010685	Low alkaline phosphatase of renal origin	肾源性碱性磷酸酶偏低	An abnormally reduced level of kidney isoforms of `alkaline phosphatase, tissue-nonspecific isozyme` (PRO:000003968) in the blood.	由于肾功能异常，血液中非组织特异性碱性磷酸酶低于正常水平。
代谢/内稳态异常	HP:0010686	Low alkaline phosphatase of hepatic origin	肝源低碱性磷酸酶	An abnormally reduced level of liver isoforms of `alkaline phosphatase, tissue-nonspecific isozyme` (PRO:000003968) in the blood.	（:000003968 PRO）在血液`碱性磷酸酶，组织非特异性isozyme`肝同种型的异常降低的水平。
代谢/内稳态异常	HP:0010687	Low intestinal alkaline phosphatase	低肠内碱性磷酸酶	An abnormally reduced level of `alkaline phosphatase, intestinal type` (PRO:000003964) in the blood.	（:000003964 PRO）在血液的`碱性磷酸酶，肠type`异常降低的水平。
代谢/内稳态异常	HP:0010688	Low placental alkaline phosphatase	低胎盘内的碱性磷酸酶	An abnormally reduced level of `alkaline phosphatase, placental type` (PRO:000003969) in the blood.	（:000003969 PRO）在血液的`碱性磷酸酶，胎盘type`异常降低的水平。
四肢异常;骨骼系统的异常	HP:0010689	Mirror image polydactyly	镜像多趾	A hand or foot with more than five digits that has a recognizable A/P axis of symmetry. The axis can lie within a normally formed or partially duplicated digit resembling a middle finger, index finger, thumb, toe, or hallux. Alternatively, the axis can be in an interdigital space with a flanking pair of digits that resemble a middle finger, index finger, thumb, toe or hallux. The most lateral digits on each side of the hand typically resemble fifth fingers/toes.	一只手或脚有五位数以上，有对称识别的A /轴线P。轴可以躺在内形成正常或部分重复的数字类似于中指，食指，拇指，脚趾，或外翻。或者，所述轴能够与一侧翼的一对类似于一个中指，食指，拇指，脚趾或拇数字叉指的空间。在手上的每一侧的最外侧的数字通常类似于第五手指/脚趾。
四肢异常;骨骼系统的异常	HP:0010690	Mirror image hand polydactyly	镜像手多指	`Mirror image duplication of digits` (HP:0010689) affecting the hands only.	镜像复制digits`的`（HP:0010689），受影响的只是手中。
四肢异常;骨骼系统的异常	HP:0010691	Mirror image foot polydactyly	镜像足多趾	`Mirror image duplication of digits` (HP:0010689) affecting the feet.	镜像复制digits`的`（HP:0010689）影响的脚。
四肢异常;骨骼系统的异常	HP:0010692	2-5 finger syndactyly	食指至小手指并指形	2-5 toe syndactyly means the fusion of 2nd to 5th finger.	是指至小指融合型并指。
眼睛的异常	HP:0010693	Pulverulent Cataract	粉状白内障	A kind of `congenital cataract` (HP:0000519) that is characterized by a hollow sphere of punctate opacities involving the fetal nucleus and that usually occurs bilaterally.	一类先天性白内障（HP:0000519），其特征在于晶状体胎儿核点状混浊，并且通常发生双侧。
眼睛的异常	HP:0010694	Lamellar pulverulent cataract	片状粉末状白内障	A `Lamellar cataract` (HP:0007971) with a pulverulent (punctate, "dust-like" opacities) appearance.	白内障的一种（HP:0007971），晶体中有粉状（点状，“粉尘状”混浊）的浑浊。
眼睛的异常	HP:0010695	Sutural cataract	缝性白内障	A type of `congenital cataract` (HP:0000519) in which the opacity follows the anterior or posterior Y suture.	先天性白内障的一种（HP:0000519），晶体的浑浊位于前或后?缝。
眼睛的异常	HP:0010696	Polar cataract	极性白内障	A type of `Congenital cataract` (HP:0000519) in which the opacities occupy the subcapsular cortex at the anterior or posterior pole of the lens.	一种类型的先天性白内障`（HP:0000519），其中混浊主要累及晶状体前或后极囊下皮质。
眼睛的异常	HP:0010697	Anterior pyramidal cataract	前锥体白内障	A type of `anterior polar cataract` (HP:0001134) which projects as a conical opacity into the anterior chamber.	前极性白内障的一种`（HP:0001134），晶体前表面呈圆锥形凸入前房。
眼睛的异常	HP:0010698	Nuclear pulverulent cataract	核性粉尘状白内障	A type of `nuclear cataract` (HP:0008024) involving congenital pulverulent disc-like opacity of the embryonal and fetal nucleus.	是涉及胚胎和胎儿晶状体核的先天性粉状圆盘状混浊。
眼睛的异常	HP:0010699	Triangular nuclear cataract	三角核性白内障	A `nuclear cataract` (HP:0008024) with a triangular form.	一种核性白内障，呈（HP:0008024）三角形式。
眼睛的异常	HP:0010700	Total cataract	全白内障	A `Congenital cataract` (HP:0000519) characterized by an opacity of all the fibers of a lens.	先天性白内障`（HP:0000519），其特征是晶状体的所有纤维的浑浊。
免疫系统的异常;血液和造血组织异常;代谢/内稳态异常	HP:0010701	Abnormal immunoglobulin level	免疫球蛋白水平异常	An abnormal deviation from normal levels of immunoglobulins in blood.	血液中免疫球蛋白含量异常。
免疫系统的异常;血液和造血组织异常;代谢/内稳态异常	HP:0010702	Hypergammaglobulinemia	球蛋白血症	An increased level of gamma globulin (immunoglobulin) in the blood.	丙种球蛋白（免疫球蛋白）在血液中的水平增加。
四肢异常;骨骼系统的异常	HP:0010704	1-2 finger syndactyly	第一至第二指并指畸形	Syndactyly with fusion of fingers one and two.	第一至第二指融合形成并指畸形
四肢异常;骨骼系统的异常	HP:0010705	4-5 finger syndactyly	无名指与小手指并指	4-5 finger syndactyly means the fusion of 4th and 5th finger.	无名指与小手指融合型并指。
四肢异常;骨骼系统的异常	HP:0010706	1-3 finger syndactyly	拇指至中指并指	1-3 finger syndactyly means the fusion of 1st to 3rd finger.	`拇指至中指融合型并指。
四肢异常;骨骼系统的异常	HP:0010707	1-4 finger syndactyly	拇指至无名指并指	`1-4 finger syndactyly means the fusion of 1st to 4th finger.	`第一至四手指融合型并指。
四肢异常;骨骼系统的异常	HP:0010708	1-5 finger syndactyly	五个手指并指	1-5 finger syndactyly means the fusion of 1st to 5th finger (complete syndactyly of all fingers of the hand).	`全部手指融合型并指（所有手指完全并指）。
四肢异常;骨骼系统的异常	HP:0010709	2-4 finger syndactyly	食指至无名指并指	2-4 finger syndactyly means the fusion of 2nd to 4th finger.	第二至四手指融合型并指。
四肢异常;骨骼系统的异常	HP:0010710	3-5 finger syndactyly	中指至小手指并指	3-5 finger syndactyly means the fusion of 3rd to 5th finger.	中指至小手指融合型并指。
四肢异常;骨骼系统的异常	HP:0010711	1-2 toe syndactyly	第一、二脚趾并趾	1-2 finger syndactyly means the fusion of 1st to 2nd finger	`第一、二脚趾融合型并趾。
四肢异常;骨骼系统的异常	HP:0010712	1-4 toe syndactyly	第一至四脚趾指	1-4 toe syndactyly means the fusion of 1st to 4th finger.	`第一至四脚趾融合型并趾。
四肢异常;骨骼系统的异常	HP:0010713	1-5 toe syndactyly	第一至第五脚趾并趾	1-5 toe syndactyly means the fusion of 1st to 5th toe (complete syndactyly of all toes of the foot).	全部脚趾融合型并趾（所有脚趾完全并趾）。
四肢异常;骨骼系统的异常	HP:0010714	2-4 toe syndactyly	第二至第四脚趾并趾	2-4 toe syndactyly means the fusion of 2nd to 4th toe.	第二至四脚趾融合性型并趾。
四肢异常;骨骼系统的异常	HP:0010715	2-5 toe syndactyly	第二至第五脚趾并趾	2-5 toe syndactyly means the fusion of 2nd to 5th toe.	第二至五脚趾融合型并趾。
四肢异常;骨骼系统的异常	HP:0010716	3-5 toe syndactyly	第三至第五脚趾指畸形	3-5 toe syndactyly means the fusion of 3rd to 5th toe.	第三至五脚趾融合型并趾。
四肢异常;骨骼系统的异常	HP:0010717	Osseous syndactyly of toes	脚趾并指	Webbing or fusion of the toes, involving soft parts and including fusion of individual bones of the toes. Bony fusions are revered to as "bony" Syndactyly if the fusion occurs in a tibial-fibular axis. Fusions of bones of the toes in a proximo-distal axis are referred to as "Symphalangism".	织带或融合脚趾，涉及软件和包括融合脚趾的各个骨头。骨性融合被尊称为“骨”并指畸形，如果融合发生在胫骨，腓骨轴。脚趾中一个PROXIMO - 远侧轴的骨头融合物称为“Symphalangism”。
体壁的异常	HP:0010719	Abnormality of hair texture	发质异常	An abnormality of the texture of the `hair` (FMA:53667).	毛发质地的异常。
体壁的异常	HP:0010720	Abnormal hair pattern	毛发分布异常	An abnormality of the distribution of hair growth.	毛发生长呈异常分布。
体壁的异常	HP:0010721	Abnormal hair whorl	毛发异常旋涡式生长	An abnormal hair whorl (that is, a patch of hair growing in the opposite direction of the rest of the hair).	毛发异常螺纹（一部分毛发向其余部分的相反方向生长）。
耳朵的异常	HP:0010722	Asymmetry of the ears	耳朵不对称	An `asymmetriy` (PATO:0000616), i.e., difference in size or shape between the left and right `ear` (FMA:52780 ).	耳朵`不对称`（PATO: 0000616），即，在左，右耳（FMA: 52780）在大小或形态上存在差异。
耳朵的异常	HP:0010723	Cystic lesions of the pinnae	耳廓囊性病变		
头或颈部的异常;骨骼系统的异常	HP:0010724	Advanced pneumatization of the mastoid process	乳突过度气化	An abnormally advanced degree of pneumatization (i.e., formation of air cells) in the `mastoid process` (FMA:52872) with respect to age-dependent norms.	乳突气化（形成气室）的程度异常，比同龄正常值增加。
眼睛的异常	HP:0010726	Prominent corneal nerve fibers	角膜神经纤维突出	Abnormal prominence of the corneal nerve fibers.	角膜神经纤维异常突出。
眼睛的异常	HP:0010727	Spontaneous rupture of the globe	眼球自发破裂	Rupture of the eyeball not due to trauma.	破裂的眼球不是由于外伤。
眼睛的异常	HP:0010728	aplasia of the retina	视网膜发育缺陷	A developmental defect characterized by absence of the `retina` (FMA:58301).	一个发育缺陷特征是不存在视网膜（FMA:58301）。
眼睛的异常;头或颈部的异常;心血管系统的异常	HP:0010729	Cherry red spot of the macula	黄斑樱桃红点	Pallor of the perifoveal macula of the retina with appearance of a small circular reddish choroid shape as seen through the fovea centralis due to relative transparancy of the macula.	苍白的视网膜与黄斑区相对红的圆形区。
头或颈部的异常;体壁的异常	HP:0010730	Double eyebrow	双眉	This may present as a partial or complete duplication of the eyebrows.	这可以表现为部分或全部眉毛的重复出现。
头或颈部的异常;体壁的异常	HP:0010731	Extension of eyebrows towards upper eyelid	眉毛朝上眼睑延伸	The eyebrows extend towards - or even all the way down to - the margin of the upper eyelid.	眉毛伸向，甚至一直覆盖到上眼睑的边缘。
头或颈部的异常;体壁的异常	HP:0010732	Nodular changes affecting the eyelids	影响眼睑的结节样改变	Nodular changes affecting the eyelids may have many different causes such as cystic lesions (chalaziae, hordeolae), lipogranulomas, melanomas, infectious diseases (Molluscum contagiosum) and many more.	影响眼睑的结节样改变可能有很多不同的原因，如囊性病变（霰粒肿，麦粒肿），脂肪肉芽肿，黑色素瘤，感染性疾病（传染性软疣）及其它等等。
心血管系统的异常;体壁的异常	HP:0010733	Naevus flammeus of the eyelid	眼睑鲜红斑痣	`Naevus flammeus` (HP:0001052) localised in the skin of the eyelid.	位于眼睑皮上的“鲜红斑痣”（HP:0001052）。
骨骼系统的异常	HP:0010734	Fibrous dysplasia of the bones	纤维性骨发育不良	Tumor-like growths that consist of replacement of the medullary bone with fibrous tissue, causing the expansion and weakening of the areas of bone involved. Especially when involving the skull or facial bones, the lesions can cause externally visible deformities. The skull is often, but not necessarily, affected, and any other bone or bones may be involved. Fibrous dysplasia can either effect isolated bones (Monostotic fibrous dysplasia) or also generalized all bones of the body (Polyostotic fibrous dysplasia).	瘤样生长即包括更换髓骨纤维组织，造成骨所涉及的领域的扩大和弱化。特别是涉及颅骨或面部骨骼时，病变可引起外部可见的畸形。颅骨通常，但不一定，受影响的，和任何其它的骨或骨骼可能参与。纤维异常增殖症可以影响孤立的骨骼（Monostotic纤维结构不良），或者也广义的身体（多骨纤维性发育异常）的所有骨骼。
骨骼系统的异常	HP:0010735	Polyostotic fibrous dysplasia	多骨纤维异常增殖症	`Fibrous dysplasia of the bones` (HP:0010734) were lesions are localized in many bones throughout of the body. Polyostotic fibrous dysplasia is a cardinal feature of McCune-Albright syndrome.	`的bones`（HP:0010734）的纤维异常增殖症是病变整个身体的局部，在许多骨头。多骨纤维异常增殖症是麦 - Albright综合征的一个重要特征。
骨骼系统的异常	HP:0010736	Monostotic fibrous dysplasia	单骨性骨纤维异常增殖症	`Fibrous dysplasia of the bones` (HP:0010734) were lesions are localized in only one bone.	`的bones`（HP:0010734）的纤维异常增殖症是病变局限在只有一个骨。
骨骼系统的异常	HP:0010739	Osteopoikilosis	骨斑点症	Osteopoikilosis is a benign, asymptomatic sclerotic dysplasia of the bones. It affects both male and female and may be seen at any age. Radiographically sclerotic circular or ovoid lesions are usually symmetrically distributed in a periarticular location. Lesions can increase or decrease in size and number in serial radiographs or even disappear and do not have increased bone radiotracer uptake.	骨斑点症是骨良性，无症状硬化发育不良。它影响男性和女性，并且可以看出，在任何年龄。 X线片硬化圆形或卵圆形病灶，通常对称地分布在关节周围的位置。病变可以增加或减少在尺寸和数量中的串行X光片或甚至消失，没有增加的骨放射性摄取。
四肢异常;骨骼系统的异常	HP:0010740	Osteopathia striata	纹状骨病	A lamellar pattern visible on radiographs and mainly localized at the metaphyses of the long tubular bones. Pathologic-anatomical studies revealed that these benign signs on x-rays are the result of a juvenile metaphyseal bone necrosis. Calcifications in the necrotic marrow lead to this lamellar or lattice-like appearance.	层状模式的X光片可见，主要定位于长管状骨的干骺端。病理解剖的研究显示，在X射线这些良性迹象少年干骺端骨坏死的结果。钙化在坏死骨髓导致此层状或格子状的外观。
四肢异常;代谢/内稳态异常	HP:0010741	Edema of the lower limbs	下肢水肿	An abnormal accumulation of fluid beneath the skin of the legs.	流体的腿的皮肤下的异常积累。
四肢异常;代谢/内稳态异常	HP:0010742	Edema of the upper limbs	上肢水肿	An abnormal accumulation of fluid beneath the skin of the arms.	流体的手臂皮肤之下的异常堆积。
四肢异常;骨骼系统的异常	HP:0010743	Short metatarsal	短跖骨	Diminished length of a `metatarsal bone`(FMA:24492), with resultant proximal displacement of the associated toe.	减少长度`跖骨bone`（FMA:24492），用相关的脚趾产生近端位移。
四肢异常;骨骼系统的异常	HP:0010744	Absent metatarsal bone	跖骨缺失	A developmental abnormality characterized by the absence (aplasia) of a `metatarsal bone` (FMA:24492).	一个`跖骨bone`的特点是没有（再生障碍性贫血），一个致力于发展异常（FMA:24492）。
四肢异常;骨骼系统的异常	HP:0010745	aplasia of the phalanges of the toes	脚趾趾骨发育不全	Absence of a digit or of one or more phalanges of a toe.	缺席的趾的一个或多个指骨一个数字或。
四肢异常;骨骼系统的异常	HP:0010746	Hypoplasia of the phalanges of the toes	脚趾趾骨发育低下		
头或颈部的异常;体壁的异常	HP:0010747	Medial flaring of the eyebrow	眉毛朝中部异常生长	An abnormal distribution of eyebrow hair growth in the medial direction.	眉毛朝中线方向生长的异常分布。
头或颈部的异常	HP:0010748	Ectopic lacrimal punctum	泪点异位	Positioning of a lacrimal punctum other than at the medial margins of the eyelid.	泪点在眼睑的位置发生异常。
头或颈部的异常;代谢/内稳态异常	HP:0010749	Blepharochalasis	眼皮松弛	Blepharochalasis is characterized by recurrent, non-painful, nonerythematous episodes of eyelid edema. It has been divided into hypertrophic and atrophic forms. In the hypertrophic form recurrent edema results in orbital fat herniation through a weakened orbital septum. Most patients who have blepharochalasis present in an atrophic condition with atrophy of redundant eyelid skin and superior nasal fat pads.	眼皮松弛的特征是复发性、非疼痛、非红肿的眼睑水肿发作。它被分成肥厚型和萎缩型。肥厚型反复水肿导致眼眶脂肪疝压迫穿透弱化的眶隔。大多数萎缩型眼皮松弛患者有萎缩的冗余眼睑皮肤和上鼻脂肪垫。
头或颈部的异常	HP:0010750	Dermatochalasis	眼皮松弛	Loss of elasticity of the upper and lower eyelids causing the skin to sag and bulge.	上下眼睑缺乏弹性，进而导致皮肤下垂和隆起。
头或颈部的异常	HP:0010751	Chin dimple	下巴浅凹	A persistent midline depression of the skin over the fat pad of the `chin` (FMA:46495).	长期存在位于下巴中线脂肪垫上皮肤的凹陷
头或颈部的异常;骨骼系统的异常	HP:0010752	Cleft mandible	下颌骨裂	Midline deficiency of the mandible and some or all overlying tissues.	下颌骨及部分或全部覆盖组织的中线不足
头或颈部的异常;骨骼系统的异常	HP:0010753	Midline defect of mandible	下颌中线缺陷		
头或颈部的异常;骨骼系统的异常	HP:0010754	Abnormality of the temporomandibular joint	颞下颌关节异常	An anomaly of the `temporomandibular joint` (FMA:54832).	颞下颌关节的异常
头或颈部的异常;骨骼系统的异常	HP:0010755	Asymmetry of the maxilla	上颌骨不对称	Asymmetry between the left and right portions of the maxilla.	上颌骨的左右部分之间的不对称性。
头或颈部的异常;骨骼系统的异常	HP:0010756	aplasia/Hypoplasia of the premaxilla	前颌骨发育不全／低下	Absence or underdevelopment of the `premaxilla` (FMA:76869).	没有或发育不全的前颌骨
头或颈部的异常;骨骼系统的异常	HP:0010757	aplasia of the premaxilla	前颌骨发育不全	Absence of the `Premaxilla` (FMA:76869), which is the embryonic structure that forms the anterior part of the maxilla.	没有前颌骨，指形成上颌骨前部的胚胎结构
头或颈部的异常;骨骼系统的异常	HP:0010758	Abnormality of the premaxilla	前颌骨异常	An abnormality of the `premaxilla` (FMA:76869).	前颌骨的异常
头或颈部的异常;骨骼系统的异常	HP:0010759	Premaxillary Prominence	前颌骨突出	Prominent aspect of the `premaxilla` (FMA:76869).	前颌骨突出
四肢异常;骨骼系统的异常	HP:0010760	Absent toe	脚趾缺失	Aplasia of a `toe` (FMA:25046). That is, absence of all phalanges of a non-hallux digit of the foot and the associated soft tissues.	的`toe`再生障碍性贫血（FMA:25046）。也就是说，由于没有足的非拇数字和相关联的软组织的所有指骨。
头或颈部的异常	HP:0010761	Broad columella	宽鼻小柱	Increased width of the columella.	鼻小柱宽度增加
肿瘤;骨骼系统的异常	HP:0010762	Chordoma	脊索瘤	A chordoma is a tumors that arises from embryonic remnants of the `notochord` (FMA:85521) along the length of the neuraxis. Chordomas generally occur in the sacrum, intracranially at the clivus, or along the spinal axis.	脊索瘤是肿瘤产生于'notochord`（FMA:85521）的胚胎残余分子沿神经轴的长度。脊索瘤一般发生在骶骨，颅内的斜坡，或沿着脊柱轴线。
头或颈部的异常	HP:0010763	Low insertion of columella	鼻小柱插入位置低	Insertion of the posterior columella below the nasal base.	鼻小柱后部在鼻基下方插入。
头或颈部的异常;体壁的异常	HP:0010764	Short eyelashes	短睫毛	Decreased length of the eyelashes.	睫毛的长度减少。
四肢异常;体壁的异常	HP:0010765	Palmar hyperkeratosis	掌部角化过度	`Hyperkeratosis` (HP:0000962) affecting the palm of the hand.	掌部的角化过度。
骨骼系统的异常	HP:0010766	Ectopic calcification	异位性钙化	Deposition of calcium salts in a tissue or location in which calcification does not normally occur.	钙盐在组织或位置的沉积，其中钙化一般不会发生。
骨骼系统的异常	HP:0010767	Sacrococcygeal pilonidal abnormality	骶尾部藏毛异常	The presence of a cyst, fistula, or abscess in the sacrococcygeal region (gluteal crease) characteristically accompanied by hair and skin folds.	囊肿，瘘，脓肿或在骶尾部（臀部皱折）的存在特征伴有头发和皮肤皱褶。
骨骼系统的异常	HP:0010769	Pilonidal sinus	藏毛窦	A sinus in the coccygeal region (the region of the intergluteal cleft). A pilonidal sinus often contains hair and skin debris.	在尾骨区窦（在intergluteal裂的区域）。一个藏毛窦常含有头发和皮肤碎屑。
骨骼系统的异常	HP:0010770	Pilonidal fistula	藏毛瘘		
免疫系统的异常;骨骼系统的异常;体壁的异常	HP:0010771	Pilonidal abscess	藏毛脓肿	A hair-containing cyst or sinus usually in the coccygeal region.	含毛囊肿或鼻窦通常在尾骨区域。
心血管系统的异常;呼吸系统异常	HP:0010772	Anomalous pulmonary venous return	肺静脉回流异常	A developmental defect characterized by abnormal connection of or more pulmonary veins to the superior or inferior vena cava, the right atrium, or the coronary sinus, resulting in a left-to-right shunt of oxygenated blood.	肺静脉与上、下腔静脉、右心房或者冠状窦连接异常，导致氧合血从左到右的分流。
心血管系统的异常;呼吸系统异常	HP:0010773	Partial anomalous pulmonary venous return	部分肺静脉异常回流	A form of `anomalous pulmonary venous return` (HP:0010772) in which not all pulmonary veins drain abnormally. Partial anomalous pulmonary venous return frequently involves one or both of the veins from one lung.	部分肺静脉（一条或两条肺静脉）回流异常。
心血管系统的异常	HP:0010774	Cor triatriatrum	三房心	The presence of an additional membrane in the left or right cardiac atrium which results in the subdivision of the affected atrium (and thus in total three atria, whence the name).	左心房或右心房形成一个额外的膜，导致受影响心房的一分为二（因此共有三个心房）。
心血管系统的异常	HP:0010775	Vascular ring	血管环	A developmental defect of the aortic arch system in which the trachea and esophagus are completely encircled by connected segments of the aortic arch and its branches.	主动脉弓系统发育缺陷，其中气管和食管完全由主动脉弓及其分支连接段包围。
呼吸系统异常	HP:0010776	Tracheobronchmegaly	气管支气管肥大	Marked widening of the trachea and major bronchi that may be predispose to chronic respiratory tract infection.	气管和主支气管显著增宽，可能易患慢性呼吸道感染。
呼吸系统异常	HP:0010777	Bronchomegaly	支气管肥大	Marked widening of the major bronchi that may be predispose to chronic respiratory tract infection.	大气道显著扩大，可能诱发慢性呼吸道感染。
呼吸系统异常	HP:0010778	Tracheomegaly	气管肥大	Marked widening of the trachea.	气管显著扩大。
骨骼系统的异常	HP:0010779	Large pelvis	骨盆大	The presence of an abnormally large pelvis.	异常大骨盆的存在。
耳朵的异常	HP:0010780	Hyperacusis	听觉过敏	Over-sensitivity to certain frequency ranges of sound.	对一定频率范围内的声音过度敏感。
体壁的异常	HP:0010781	Skin dimples	皮肤酒窝征	Skin dimples are cutaneous indentations that are the result of tethering of the skin to underlying structures (bone) causing an indentation.	皮肤酒窝征是指皮肤的凹痕，常由皮肤基底层结构（骨）牵拉引起的。
体壁的异常	HP:0010782	Shoulder dimples	肩酒窝征	A subtype of `skin dimples` (HP:0010781) occurring in the shoulder region.	皮肤酒窝征的亚型，发生在肩部。
心血管系统的异常;体壁的异常	HP:0010783	Erythema	红斑	Redness of the skin, caused by hyperemia of the capillaries in the lower layers of the skin.	皮下毛细血管充血引起的皮肤发红。
肿瘤;泌尿生殖系统的异常	HP:0010784	Uterine neoplasm	子宫肿瘤	A `neoplasm` (MPATH:218) of the `uterus` (FMA:17558).	子宫发生肿瘤。
肿瘤;泌尿生殖系统的异常	HP:0010785	Gonadal neoplasm	性腺肿瘤	The presence of a `neoplasm` (MPATH:218) of a `gonad` (FMA:18250).	性腺内发生的肿瘤。
肿瘤;泌尿生殖系统的异常	HP:0010786	Urinary tract neoplasm	尿路肿瘤	The presence of a `neoplasm` (MPATH:218) of the `urinary system` (FMA:7159).	尿路系统形成肿瘤。
肿瘤;泌尿生殖系统的异常	HP:0010787	Genital neoplasm	生殖器肿瘤	The presence of a `neoplasm` (MPATH:218) of the `genital system` (7160).	生殖系统出现的肿瘤。
肿瘤;泌尿生殖系统的异常	HP:0010788	Testicular neoplasm	睾丸肿瘤	The presence of a `neoplasm` (MPATH:218) of the `testis` (FMA:7210).	睾丸形成肿瘤。
泌尿生殖系统的异常	HP:0010789	Abnormality of the Leydig cells	睾丸间质细胞异常		
泌尿生殖系统的异常	HP:0010790	Hyoplasia of the Leydig cells	睾丸间质细胞发育不全	Underdevelopment of the interstitial (Leydig) cells of the testis. These cells produce testosterone.	睾丸的间质细胞发育不全，这些细胞产生睾酮。
泌尿生殖系统的异常	HP:0010791	Hyperplasia of the Leydig cells	睾丸间质细胞增生症	Hypertrophy or overdevelopment of the interstitial (Leydig) cells of the testis. These cells produce testosterone.	睾丸的间质细胞（Leydig细胞）肥大或过度发育，这些细胞产生睾酮。
体壁的异常	HP:0010793	Bifid nail	甲分离	A digit with two nails, with at least some soft tissue between them.	手指或脚趾表现出双层指甲，其间有软组织相连。
神经系统的异常	HP:0010794	Impaired visuospatial constructive cognition	视空间结构认知障碍	Reduced ability affecting mainly  visuospatial cognition which may be tested using pattern construction (for example by Differential Ability Scales, which test a person's strengths and weaknesses across a range of intellectual abilities).	主要累及视空间认知的能力下降，视空间认知通过结构模式检测（例如，通过差别能力量表评价一个人在一系列智力能力的优缺点）。
神经系统的异常;肿瘤	HP:0010795	Cerebellar glioma	小脑胶质瘤	A `glioma` (HP:0009733) affecting the `cerebellum` (FMA:67944).	累及小脑（FMA:67944）的胶质瘤（HP:0009733）。
神经系统的异常;肿瘤	HP:0010796	Brainstem glioma	脑干胶质瘤	A `glioma` (HP:0009733) affecting the `brainstem` (FMA:79876).	累及脑干（FMA:79876）的胶质瘤（HP:0009733）。
神经系统的异常;肿瘤	HP:0010797	Hemangioblastoma	血管母细胞瘤	A `hemangioblastoma` (MPATH:238) is a benign vascular neoplasm that arises almost exclusively in the central nervous system. Hemangioblastomas consist of a tightly packed cluster of small blood vessels forming a mass of up to 1 or 2 cm in diameter.	血管母细胞瘤（MPATH:238）是一种良性的、主要源于中枢神经系统的血管瘤。血管母细胞瘤由一群紧密排列的小血管形成的直径可达1或2厘米的肿物。
头或颈部的异常	HP:0010798	Lip freckle	唇雀斑	Increased focal pigmentation of the vermilion of the lips.	嘴唇唇红局部色素沉着增加。
神经系统的异常;肿瘤	HP:0010799	Pinealoma	松果体瘤	A `neoplasm` (MPATH:218) of the `pineal gland` (FMA:62033).	在`松果体gland`:一个`neoplasm`（218的mpath）（FMA:62033）。
头或颈部的异常	HP:0010800	Absent cupid's bow	无丘比特的弓	Lack of paramedian peaks and median notch of the upper lip vermilion.	缺乏唇正中峰和上唇唇红正中切口。
头或颈部的异常	HP:0010801	Underdeveloped nasolabial fold	鼻唇沟发育不良	Reduced bulkiness of the crease or fold of skin running from the lateral margin of the nose, where nasal base meets the skin of the face, to a point just lateral to the corner of the mouth (cheilion or commissure).	从鼻基到嘴角处两侧的皮肤所形成的皱褶缩小。
头或颈部的异常;体壁的异常	HP:0010802	Perioral hyperpigmentation	口周色素沉着过度	Increased pigmentation, either focal or generalized, of the skin surrounding the vermilion of the lips.	嘴唇唇红周围皮肤局部或普遍色素沉着增加。
头或颈部的异常	HP:0010803	Everted upper lip vermilion	上唇唇红外翻	Inner aspect of the upper lip vermilion (normally apposing the teeth) visible in a frontal view, i.e., the presence of an `everted` (PATO:0001597) `upper lip` (FMA:59817).	从正面可见上唇唇红的内部，即上唇外翻
头或颈部的异常	HP:0010804	Tented upper lip vermilion	帐篷状上唇	Triangular appearance of the oral aperture with the apex in the midpoint of the upper vermilion and the lower vermilion forming the base.	口呈三角形，尖位于上唇正中，底位于下唇。
头或颈部的异常	HP:0010805	Upturned corners of mouth	嘴角上翘	Oral commissures positioned superior to the midline labial fissure.	两侧口角高于唇中线。
头或颈部的异常	HP:0010806	U-Shaped upper lip vermilion	U型上唇	Gentle upward curve of the upper lip vermilion such that the center is placed well superior to the commissures.	唇角略微向上弯曲，高于上唇联合处。
头或颈部的异常	HP:0010807	Open bite	开牙合畸形	Visible space between the dental arches in occlusion.	牙咬合时牙弓之间可见空间。
头或颈部的异常	HP:0010808	Protruding tongue	舌头过长	Tongue extending beyond the alveolar ridges or teeth at rest.	舌在休息位时超出牙槽脊或牙齿。
头或颈部的异常	HP:0010809	Broad uvula	宽悬雍垂	Increased width of the `uvula` (FMA:55022) (subjective finding).	悬雍垂宽度增加（主观发现）
头或颈部的异常	HP:0010810	Long uvula	长悬雍垂	Increased length of the `uvula` (FMA:55022).	悬雍垂的长度增加。
头或颈部的异常	HP:0010811	Narrow uvula	悬雍垂狭窄	Decreased width of the `uvula` (FMA:55022).	悬雍垂宽度减少。
头或颈部的异常	HP:0010812	Short uvula	悬雍垂短小	Decreased length of the uvula.	悬雍垂长度减少。
体壁的异常	HP:0010813	Abnormal number of hair whorls	毛发螺纹数量异常	More than two clockwise hair whorls.	两个以上呈顺时针分布的毛发螺纹。
